Convención Ibero-Latinoamericana de Ciencias Morfológicas. XIII Simposio Ibero-Latinoamericano de Terminología.                                                            I Congreso Ibero-Latinoamericano de Ciencias Morfológicas,17-Apr,22-Apr,La Habana,Consejo Nacional de Sociedades Científicas. ,Havanatur,MSc.Dra. Belén Z.Iglesias Ramirez                                           ,,,belen@infomed.sld.cu,
Festival de Salsa ,18-abr.,24-abr.,,Casa del Son,SAN CRISTÓBAL,Silvia Garcia          ,,,grup_comerc@viajessancristobal.cu,
Festival Internacional Varadero Gourmet 2016.,20-abr.,22-abr.,Matanzas,Centro de Convenciones Plaza América Varadero. ,HAVANATUR,"Liubersy Pérez Guillén (Directora Adjunta)
",(53 7) 8362557                                                  ,,vicepresidente@gee.palmares.cu,www.palmarescuba.com
"Simposio de Cáncer y Autoinmunidad Varadero 2016: Empleo de nuevas dianas y terapias emergentes
",21-abr.,25-abr.,Matanzas,"Hotel Iberostar Laguna Azul, Varadero",HAVANATUR,Gerardo Enrique Guillén Nieto.,(53 7) 250 4495                                                    ,(53 7) 250 4494,gerardo.guillen@cigb.edu.cu,
XII Festival Internacional de Cine Pobre de Gibara.,24-abr.,27-abr.,Holguín,Gibara. ,PARADISO,"Lester Hamlet . Director
",(53 7) 838 3657; 838 3650 al 55 ext. 210,(53 7) 838 1188,directorcinepobre@icaic.cu ,www.cubacine.cu/cinepobre
XXII Congreso Nacional de Historia.,24-abr.,25-abr.,Holguín,Holguín,PARADISO,Dr. Roberto Pérez Rivero,(53 7) 862 2596; 862 2583,,historiadores@cubarte.cult.cu,
"Feria Nacional de Artesanía, Arte para Mamá",24-abr.,7-may.,La Habana,PABEXPO. ,,,,,,
"WEFLA  2016: X Conferencia Internacional sobre Lenguas Extranjeras, Comunicación y Cultura.",26-abr.,28-abr.,Holguín,Universidad de Holguín y Hotel Club Amigo Atlántico-Guardalavaca,HAVANATUR,Dra. C. Vilma Páez Pérez.                                          Tel.:  ,(53 24) 480804.                                                                    ,,"vilma@fh.uho.edu.cu, info@wefla.com                                                                                ",www.wefla.org
XIV Seminario Internacional de Longevidad.,26-abr.,29-abr.,La Habana,Palacio de las Conveciones de La Habana,,,,,,
ISRI 2016. XII Seminario de Relaciones Internacionales ,27-abr.,29-abr., La Habana,"Instituto Superior de Relaciones Internacionales ""Raúl Roa García"".",AMISTUR,Isabel Allende Karam,(53 7) 831 9495 ext. 124                                                   ,,isabelallende@isri.minrex.gob.cu                                                            ,
FOTOSUB 2016,27-abr.,1-may.,Isla de la Juventud,Hotel Colony,ECOTUR,Francisco Díaz  (Director Comercial),(53 7) 273 1867                                        ,,dircomercial@marlin.tur.cu                                                  ,www.photosubcuba.com
"Conferencia Regional de América Latina y el Caribe de la Unión Sindical de los Trabajadores de la Alimentación, la Agricultura, el Comercio, la Industria Textil y Similares. UISTAACS",28-abr.,5-may.,La Habana,HTL Kohly- Bosque. ,Gaviota Tours,,,,"sntiap.secgeneral@ctc.cu, uis@ctc.cu, comercial8.ventas@gaviotatours.cu, comercial10.ventas@gaviotatours.cu",
"Ecuentro Internacional ""Presencia de Paulo Freire"". Espacio para reflexionar y crecer",2-may.,6-may.,Cienfuegos,Hotel Punta Las Cuevas. ,CUBATUR,Dr. Mariano A. Isla Guerra ,(53 7)  202 5478;  (53 43) 51 9745,,"maislaguerra@gmail.com, mariano@apc.rimed.cu  ",
LACNIC 25.Registro de Direcciones IP de Latino América y el Caribe,2-may.,7-may.,La Habana,Palacio Convenciones de La Habana,HAVANATUR,"Luis Manuel Díaz Naranjo
Tel.: 

",(53 7) 266 8627       ,,luismanuel.diaz@etecsa.cu,www.etecsa.cu
XXIII Festival Internacional Romerías de Mayo  ,2-may.,8-may.,Holguín. ,Holguín. ,Paradiso,,(53 24) 42 1673,(53 24) 46 7862,director@baibrama.cult.cu      ,www.baibrama.cult.cu 
Desafíos mundiales de la propiedad industrial,3-may.,5-may.,La Habana,Hotel Memories Miramar. ,HAVANATUR,Sandra Rodríguez Díaz,(53 7) 866 0550; 866 0557; 862 4379                      ,,eventos@ocpi.cu,ww.ocpi.cu
FitCuba 2016. Feria Internacional de Turismo ,3-may.,7-may.,La Habana,Complejo Morro Cabaña. ,CUBATUR,"Ms. Alberto Encinoso Lemus
Dalila A. González García      ",(537) 832 7535 ext.228                ,,comunicacion1@mintur.tur.cu ,www.fitcuba.com
HOMINIS 2016. VII Convención Intercontinental de Psicología ,9-may.,13-may.,La Habana,Palacio de las Convenciones.,VIAJES CUBANACÁN S.A.,Dr. Alexis Lorenzo Ruiz. PhD.,(53 7) 870 4617; 870 4923                                 ,(53 7)  873 5960,"alexis.lorenzo@psico.uh.cu, alexislorenzo64@gmail.com  ","www.hominiscuba.com,  promociondeeventos.sld.cu/hominis2016 ,  sociedad.psico.uh.cu"
"VI Encuentro Internacional de Mujer, Género y Derecho.",11-may.,13-may.,La Habana,Hotel Nacional de Cuba,CUBATUR,Msc. Migdalia Velázquez Pérez,(53 7) 832 29680,(53 7) 833 3382                                  ,"unjc@unjc.co.cu, cuba.juristas@yahoo.es ",www.unjc.co.cu
Foro de empresarios y Líderes en Tecnologías de la Información,11-may.,15-may.,Matanzas,Centro de Investigaciones Tecnológicas Integradas (CITI) - HTL Blau Marina Varadero. ,Gaviota Tours,"Ing. René E. Hidalgo Font.
",(53 45) 214 1247,,,
Temporada de Teatro Latinoamericano y Caribeño MAYO TEATRAL 2016,13-may.,22-may.," La Habana, Santiago de Cuba, Guantánamo, Holguín, Camagüey, Ciego de Ávila, Cienfuegos, Villa Clara, Matanzas","Teatros de La Habana, Santiago de Cuba, Guantánamo, Holguín, Camagüey, Ciego de Ávila, Cienfuegos, Villa Clara y Matanzas.",PARADISO,Sra Vivian Martínez Tabares    ,(53 7) 838 2706 al 09,(53 7) 838 2703                                    ,conjunta@casa.cult.cu,www.casadelasamericas.org
Cubadisco 2016.Feria Internacional ,14-may.,22-may.,La Habana,"Teatros Nacional, Kart Marx, Sala Avenida y Casa del Alba Cultural.",Paradiso,"Osmani López Castro.
",(53 7) 8328 298; 836 7436; 833 9697; 832 4835  ,,"cubadisco@icm.cu, cubadisco@cubarte.cult.cu, vpprocom@icm.cu, eventos@paradiso.artex.cu",
Foro Empresarial y de Negocios para el Sector de las Tecnologías de la Información (TI),16-may.,20-may.,La Habana,Complejo de Investigaciones Tecnológicas Integradas. CUJAE. ,Gaviota Tours,Empresa DATYS,,,"carla.iriarte@felti.org, rene.hidalgo@datys.cu, comercial8.ventas@gaviotatours.cu,
comercial10.ventas@gaviotatours.cu",
CUBASOLAR,16-may.,20-may.,Holguín,C.A Atlántico Guardalavaca. ,CUBATUR,Lic. Eliseo Gavilán Sáez,"(53 7) 206 2061, 204 0010                                      ",,cubasolar2016@cubasolar.cu,www.cubasolar.cu
XI Taller Internacional Enseñanza de la Física y la Química y IV Taller Enseñanza de las Ciencias Naturales,16-may.,20-may.,Matanzas,Hotel Acuazul. Varadero. ,CUBATUR,Dr. C. Manuel Pino Bastista.,(53 45) 291503,,mpino@ucp.ma.rimed.cu ,
V Encuentro Internacional de Trabajo Social,16-may.,21-may.,La Habana,Hotel Comodoro. ,CUBATUR,Lic. Odalys Gonzalez Bujan,(53 7) 214 4647,,socutras@infomed.sld.cu,
III Foro Internacional de Oratoria y Pensamiento Martiano y Latinoamericano: Trincheras de Ideas 2016,16-may.,18-may.,Las Tunas,Universidad de Las Tunas. ,VIAJES CUBANACÁN S.A.,"Dra.C Clara Guzmán Góngora, Dr.C. Carlos Alberto Suárez Arcos, Dr. C Juan Idalberto Ricardo Botello. ",(53 31) 348014  ext 194,(53 31) 346501                            ,"cguzman@ult.edu.cu, carlossa@ult.edu.cu,  jbotello@ult.edu.cu                                    ",www.ult.edu.cu
Manejo y Gestión,16-mayo,16-mayo,La Habana,Plan Maestro de la OHC. ,SAN CRISTÓBAL,Silvia Garcia                ,,,grup_comerc@viajessancristobal.cu,
II Congreso Internacional sobre Gestión Económica para el Desarrollo.,16-may.,19-may.,La Habana,Palacio de las Convenciones. ,CUBATUR,Oscar Luis Hung Penton  ,(53 7) 204 9462; 204 5309,,presidente@anec.co.cu,www.anec.cu
Contabilidad 2016 ,16-may.,20-may., La Habana,Palacio de las Convenciones.,,,,,,
Salón Internacional de Equipamientos para Hostelería y Servicios Turísticos. HOSTELCUBA,17-may.,19-may.,La Habana,PABEXPO. ,,,,,,
VIII Encuentro Internacional Justicia y Derecho 2016,18-may.,20-may.,La Habana,Palacio de las Convenciones. ,HAVANATUR,Rufina Hernández Rodríguez  ,(53 7) 881 2124,,rufina@tsp.cu ,www.tsp.cu 
I Bienal Internacional de Diseño de La Habana  ,19-may.,21-may.,La Habana,Palacio de las Convenciones.,,,,,,
II Simposio de Hepatitis Virales 2016.,19-may.,22-may.,Matanzas,Hotel Meliá Marina Varadero,HAVANATUR,Gerardo Enrique Guillén Nieto,(53 7) 250 4495,(53 7) 250 4494,gerardo.guillen@cigb.edu.cu,
"IX Taller Internacional sobre la Aplicación Práctica del Heberprot-P en Pacientes con Úlceras del Pie Diabético.
",19-may.,20-may.,La Habana,Hotel Meliá Habana,Havanatur S.A./Gaviotatur S.A. (según concurrencia que se apruebe),"Miriela Gil Mena                                                         Osvaldo Reyes Acosta
", (53 7) 250 4121; 271 6022 Ext. 1023 y 1144,,"miriela.gil@cigb.edu.cu,
osvaldo.reyes@cigb.edu.cu,
hptcongress.cigb.edu.cu",
XI Encuentro Internacional de Agricultura Orgánica y Sostenible.,23-may.,26-may.,Matanzas,Hotel Memoríes. Varadero.,HAVANATUR,Ing. Idalmis Nazco Chaviano,(53 7) 203 5546; 202 7832,,encuentro2016@actaf.co.cu,www.actaf.co.cu 
Taller Internacional de Suelos 2016 ,25-may.,26-may.,La Habana,Palacio de las Convenciones.,,,,,,
III Congreso Internacional de Arquitectura e Ingenierías Hospitalarias,25-may.,28-may.,La Habana,La Habana,HAVANATUR,Arq.César Garrido Rodríguez,,,,
18ª Primavera Científica IES- UC de Diseño Gráfico,29-may.,2-jun.,Camagüey,Universidad de Camagüey ,CUBATUR,Dr. Aymee Alonso.                                    ,(53 32) 262487,,aymee.alonso@reduc.edu.cu ,
Convención Trópico 2016. V Congreso de Geografía Tropical. V Congreso de Agricultura Tropical. IV Congreso de Biodiversidad y Ecología Tropical. IV Congreso de Meteorología Tropical   ,30-may.,3-jun.,La Habana,Palacio Convenciones de La Habana,HAVANATUR,Dr. Jose Angel Luis Machín,"(53 7) 832 4295, 837 0387                                   ",,machin@geotech.cu; normas@geotech.cu; tropico2016@geotech.cu,www.convenciontropicocuba.com
"II Feria Internacional de la Moda, CUBA es MODA ",31-may.,4-jun.,La Habana,PABEXPO. ,,,,,,
Ier Simposio Internacional de la Técnica Canina Cubana,1-jun.,2-jun.,La Habana,Hotel Palco. La Habana,Havanatur,Dirección Relaciones Internacionales y Colaboración del MININT.                                                ,,,rrii@dric.rem.cu; mincal@mn.co.cu,
12 Conferencia Internacional en Aproximación y Optimización en el Caribe.,10-jun.,15-jun.,La Habana,Universidad de la Habana,Gaviota Tours,Prof. Luis Ramiro Pérez                        lrp@matcom.uh.cu,,,,
IMASUB 2016. VI Encuentro Internacional de Fotografía Subacuática ,6-jun.,11-jun.,Pinar del Río,Centro Internacional de Buceo María la Gorda. ,Gaviota Tours,"Grupo de Turismo Gaviota 
",,,"comercial8.ventase@gaviotatours.cu, comercial10.ventase@gaviotatours.cu, jefe.buceo@marinanagav.co.cu",
12th. International Conference on Approximation and Optmization in the Caribbean (AppOpt 2016) ,4-jun.,9-jun.,La Habana,Hotel Riviera.,CUBATUR,Guillermo López Lagomasin.                                        Raúl Guinovart Díaz.      ,"(53 34) 916245947, (53 7) 879 0890                                                                                                     ",(53 34)  916249150                          ,"lago@math.uc3m.es, guino@matcom.uh.cu, www.matcom.uh.cu ",www.gama.uc3m.es/index.php/glopez.html                                                                
VI Simposio Internacional de Química ,6-jun.,9-jun.,Villa Clara,Hotel Memory Paraíso Azul Cayo Santa María.,Gaviota Tours,Dra. C. Neibys L. Casdelo Gutiérrez; Dr. C. Luis R. Bravo Sánchez; Dra. C. Leisy Nieto Reyes; Dra. C. Elena R. Rosa Domínguez;. Dr. C. Osvaldo Reyes Acosta.                                                                                                                              ,"(53 42) 281100, 42 211825 y 42 211826",,siq@uclv.cu,www.siq.qf.uclv.edu.cu  
XIII Conferencia Internacional sobre Ciencia y Tecnología de los Alimentos (CICTA 13),6-jun.,10-jun.,La Habana,Palacio de las Convenciones.,VIAJES CUBANACÁN S.A.,Dra. Lourdes Valdés Fraga  ,(53 7) 279 3919,,direccion@iiia.edu.cu; lvaldes@iiia.edu.cu ,www.cictahabana.com 
 INTERJOVEN 2016. VII Encuentro Internacional de Jóvenes Agropecuarios,7-jun.,10-jun.,Mayabeque,Instituto Ciencia Animal (ISCA).,HAVANATUR,Dr.C. José Raúl López Alvarez.                             ,(53 47) 59 9152 ext. 211.              ,,jrlopez@ica.co.cu .                                         ,www.ciencia-animal.org           
Simposio de Ortodoncia y Ortopedia Craneo Facial,8-jun.,11-jun.,Villa Clara,Centro de Convenciones Bolivar. ,VIAJES CUBANACÁN S.A.,Dr. Adrian Moreno Arias                                           ,,,adrianma@ucm.vcl.sld.cu              ,
IX Congreso Nacional de Otorrinolaringología y Cirugia de Cabeza y Cuello. II Encuentro Internacional de ORL Graduados en Cuba. V Congreso Nacional de Logopedia y Foniatría,13-jun.,16-jun.,La Habana,Palacio de las Convenciones de La Habana,Havanatur,Dr. Antonio S. Paz Cordovez                                         ,(53 7) 876 1936; 876 1275                      ,,toeli@infomed.sld.cu                                              ,
Torneo Internacional de Pesca Ernest Hemingway. Edición 66,13-jun.,18-jun.,La Habana,Residencial Marinas Hemingway. ,ECOTUR,"Francisco Díaz  (Director Comercial)
Tel.: 
",(53 7) 204 5280                                        ,, dircomercial@prto.mh.tur.cu,
SIMFOR. IX Simposio Internacional sobre Manejo Sostenible de los Recursos Forestales ,14-jun.,16-jun.,Pinar del Río ,Universidad de Pinar del Río ,VIAJES CUBANACÁN S.A., Dra.C. Milagros Cobas López.                                                          ,(53 48) 779363; 779661                                        ,(53 48) 779353                       ,mcobas@af.upr.edu.cu                ,www.simfor.upr.edu.cu
"XIV Conferencia Internacional de Ciencias Económicas, Empresariales y Jurídicas",14-jun.,16-jun.,Camagüey,Universidad de Camagüey ,CUBATUR,Dr.C Nestor Miguel Álvarez Álvarez.  ,,,nestor.alvarez@reduc.edu.cu ,
Taller Internacional sobre Derechos Humanos de la Mujer con Discapacidad. Instrucción Social. Reunión de la Junta Directiva de la RED Latinoamérica de ONGs de personas con Discpacidad y su familia. ,16-jun.,18-jun.,La Habana,PABEXPO.,CUBATUR,Mabel Ballesteros   ,(53 7) 2144336,,aclifim@aclifim.cu   ,www.aclifim.sld.cu 
Coloquio Internacional de Historia del Arte,19-jun.,23-jun.,La Habana,Universidad de La Habana,SAN CRISTÓBAL,MSc. Odette Bello Algeciras (Presidenta)                   ,(53 7) 879 8873                              ,,odette@fayl.uh.cu ,
2da Convención Internacional de Ciencias Técnicas y Agronómicas 2016,20-jun.,23-jun.,Santiago de Cuba,Hotel Meliá Santiago,HAVANATUR,Lic. Yesei Pérez López.   ,(53 22)  63 1832 ,(53 22) 632689 ,comunicación@uo.edu.cu    ,www.convenciones.uo.edu.cu/index.php/IICICTA 
CUBAINDUSTRIA 2016,20-jun.,24-jun.,La Habana,Palacio de las Convenciones. La Habana y PABEXPO,HAVANATUR,"Adriana Barceló Permuy    
",(53 7) 263 3131; 263 3125   ,,adriana@industrias.cu   ,www.cubaindustria.cu 
"52 Conferencia de la FIA la Habana, ",20-jun.,24-jun.,La Habana,Hotel Nacional de Cuba.,VIAJES CUBANACÁN S.A.,Msc. Migdalia Velázquez Pérez,(53 7) 832 29680,(53 7) 833 3382    ," unjc@unjc.co.cu, cuba.juristas@yahoo.es",www.unjc.co.cu 
XI Encuentro de Autoridades Competentes de Medicamentos de Iberoamérica (EAMI),21-Jun,24-Jun,Matanzas,Hotel Melia Marina Varadero.,Gaviota Tours,M. Cs Lisette Perez Ojeda                 ,,,lisette@cecmed.cu,
